,Zip,City,State,Latitude,Longitude,2010 Census Population,Distance from Reactor,Reactor_lat,Reactor_lng
29834,72948,Natural Dam,AR,35.72446,-94.41065,518.0,114.0562536103388,35.330898,-93.247162
29326,72206,Little Rock,AR,34.690671,-92.26865,25624.0,114.09503668433257,35.330898,-93.247162
3459,72011,Bauxite,AR,34.523858000000004,-92.46989,4074.0,114.37792167338644,35.330898,-93.247162
23711,74954,Roland,OK,35.413049,-94.50476,4590.0,114.42630848053798,35.330898,-93.247162
955,71935,Caddo Gap,AR,34.373399,-93.70591,808.0,114.43813213587465,35.330898,-93.247162
9150,72677,Summit,AR,36.255295000000004,-92.68844,525.0,114.51200741829282,35.330898,-93.247162
22720,72104,Malvern,AR,34.364093,-92.8146,23354.0,114.5572533888253,35.330898,-93.247162
32355,72117,North Little Rock,AR,34.777238,-92.17913,12684.0,115.10657101024832,35.330898,-93.247162
29832,72533,Fifty Six,AR,35.965754,-92.2303,416.0,115.90390491883196,35.330898,-93.247162
11640,72581,Tumbling Shoals,AR,35.555144,-91.99286,1030.0,116.36620099638928,35.330898,-93.247162
21151,71929,Bismarck,AR,34.285033,-93.19533,4487.0,116.42765324312171,35.330898,-93.247162
15364,72703,Fayetteville,AR,36.107078,-94.11591999999999,28261.0,116.65520762430424,35.330898,-93.247162
6592,71943,Glenwood,AR,34.320028,-93.5993,4821.0,116.9455334483253,35.330898,-93.247162
26536,72616,Berryville,AR,36.350821,-93.56324000000001,10441.0,116.97079454991074,35.330898,-93.247162
26814,72023,Cabot,AR,34.967043,-92.03537,35026.0,117.40502255648735,35.330898,-93.247162
31973,72560,Mountain View,AR,35.863114,-92.11108,8754.0,118.58399978871147,35.330898,-93.247162
6360,72753,Prairie Grove,AR,35.951426,-94.32245999999999,7936.0,119.21260224581758,35.330898,-93.247162
1018,74932,Cameron,OK,35.138765,-94.54108000000001,2286.0,119.48072573121121,35.330898,-93.247162
32177,72730,Farmington,AR,36.03667,-94.25261,7585.0,120.05831395875657,35.330898,-93.247162
22597,72634,Flippin,AR,36.263145,-92.57635,4670.0,120.06138169493103,35.330898,-93.247162
20508,74948,Muldrow,OK,35.431711,-94.56575,12788.0,120.10320448452416,35.330898,-93.247162
1100,72007,Austin,AR,34.998573,-91.98416999999999,6708.0,120.64539757815497,35.330898,-93.247162
17822,71953,Mena,AR,34.588479,-94.21566999999999,14882.0,120.88753548775992,35.330898,-93.247162
178,71921,Amity,AR,34.257603,-93.45822,3652.0,120.92890785647215,35.330898,-93.247162
23688,72717,Canehill,AR,35.852946,-94.4219,1071.0,121.08535889360368,35.330898,-93.247162
1317,72662,Omaha,AR,36.427675,-93.19473,2986.0,122.0857995712326,35.330898,-93.247162
27742,72530,Drasco,AR,35.615840999999996,-91.9451,1987.0,122.12896566387705,35.330898,-93.247162
21529,72546,Ida,AR,35.581607,-91.93053499999999,181.0,122.50566769458578,35.330898,-93.247162
8551,72764,Springdale,AR,36.182407,-94.1082,50230.0,122.51832290093702,35.330898,-93.247162
13734,71941,Donaldson,AR,34.254277,-92.95971,2098.0,122.59697972998525,35.330898,-93.247162
